"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00098223","3.0","ERS640424","MGYS00001464","metagenomic",,"ERR732642",
"MGYA00126467","3.0","SRS085683","MGYS00000355","metagenomic",,"SRR062156",
"MGYA00126391","3.0","SRS085663","MGYS00000355","metagenomic",,"SRR062132",
"MGYA00083135","3.0","ERS1370014","MGYS00001282","metagenomic",,"ERR1662411",
"MGYA00083372","3.0","ERS1370026","MGYS00001282","metagenomic",,"ERR1662342",
"MGYA00083198","3.0","ERS1370021","MGYS00001282","metagenomic",,"ERR1662526",
"MGYA00126439","3.0","SRS085767","MGYS00000355","metagenomic",,"SRR062244",
"MGYA00083371","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662471",
"MGYA00083355","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662370",
"MGYA00083105","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662325",
"MGYA00104177","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694134",
"MGYA00133849","3.0","ERS488757","MGYS00001918","metagenomic",,"ERR594402",
"MGYA00096481","3.0","ERS1507288","MGYS00001432","metagenomic",,"ERR1801660",
"MGYA00104178","3.0","ERS614331","MGYS00001609","metagenomic",,"ERR694160",
"MGYA00083324","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662229",
"MGYA00133870","3.0","ERS490676","MGYS00001918","metagenomic",,"ERR594411",
"MGYA00134055","3.0","ERS1573128","MGYS00001926","metagenomic",,"ERR2021511",
"MGYA00104127","3.0","ERS614333","MGYS00001609","metagenomic",,"ERR694191",
"MGYA00103311","3.0","ERS1569005","MGYS00000991","metagenomic",,"ERR1855258",
"MGYA00083268","3.0","ERS1370013","MGYS00001282","metagenomic",,"ERR1662197",
"MGYA00083396","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662392",
"MGYA00104213","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694152",
"MGYA00083179","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662367",
"MGYA00126410","3.0","SRS085746","MGYS00000355","metagenomic",,"SRR062220",
"MGYA00096459","3.0","ERS1507288","MGYS00001432","metagenomic",,"ERR1801664",
