"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00114869","3.0","ERS199259","MGYS00001705","metagenomic",,"ERR209661",
"MGYA00095962","3.0","ERS1069662","MGYS00001420","metagenomic",,"ERR1297756",
"MGYA00103055","3.0","ERS1138809","MGYS00001556","metagenomic",,"ERR1398171",
"MGYA00114291","3.0","ERS199091","MGYS00001705","metagenomic",,"ERR209263",
"MGYA00128681","3.0","ERS473185","MGYS00001799","metagenomic",,"ERR525850",
"MGYA00128857","3.0","ERS473134","MGYS00001799","metagenomic",,"ERR525799",
"MGYA00114245","3.0","ERS199320","MGYS00001705","metagenomic",,"ERR209761",
"MGYA00114488","3.0","ERS199222","MGYS00001705","metagenomic",,"ERR209604",
"MGYA00114333","3.0","ERS199072","MGYS00001705","metagenomic",,"ERR209215",
"MGYA00102961","3.0","ERS1138756","MGYS00001556","metagenomic",,"ERR1398113",
"MGYA00114414","3.0","ERS199126","MGYS00001705","metagenomic",,"ERR209430",
"MGYA00114366","3.0","ERS199181","MGYS00001705","metagenomic",,"ERR209535",
"MGYA00096140","3.0","ERS1069682","MGYS00001420","metagenomic",,"ERR1297736",
"MGYA00128816","3.0","ERS473157","MGYS00001799","metagenomic",,"ERR525822",
"MGYA00114464","3.0","ERS199125","MGYS00001705","metagenomic",,"ERR209426",
"MGYA00103022","3.0","ERS1138872","MGYS00001556","metagenomic",,"ERR1398199",
"MGYA00128955","3.0","ERS473165","MGYS00001799","metagenomic",,"ERR525830",
"MGYA00096076","3.0","ERS1069672","MGYS00001420","metagenomic",,"ERR1297832",
"MGYA00095893","3.0","ERS1069637","MGYS00001420","metagenomic",,"ERR1297797",
"MGYA00128960","3.0","ERS473205","MGYS00001799","metagenomic",,"ERR525870",
"MGYA00114887","3.0","ERS199230","MGYS00001705","metagenomic",,"ERR209614",
"MGYA00114750","3.0","ERS199065","MGYS00001705","metagenomic",,"ERR209200",
"MGYA00103009","3.0","ERS1138813","MGYS00001556","metagenomic",,"ERR1398215",
"MGYA00113524","3.0","ERS199121","MGYS00001705","metagenomic",,"ERR209409",
"MGYA00114923","3.0","ERS199107","MGYS00001705","metagenomic",,"ERR209350",
"MGYA00128723","3.0","ERS473138","MGYS00001799","metagenomic",,"ERR525803",
"MGYA00113767","3.0","ERS199092","MGYS00001705","metagenomic",,"ERR209268",
"MGYA00128823","3.0","ERS473211","MGYS00001799","metagenomic",,"ERR525876",
"MGYA00128947","3.0","ERS473139","MGYS00001799","metagenomic",,"ERR525804",
"MGYA00114382","3.0","ERS199028","MGYS00001705","metagenomic",,"ERR209127",
"MGYA00096043","3.0","ERS1069650","MGYS00001420","metagenomic",,"ERR1297838",
"MGYA00113459","3.0","ERS199152","MGYS00001705","metagenomic",,"ERR209478",
"MGYA00096200","3.0","ERS1069678","MGYS00001420","metagenomic",,"ERR1297654",
"MGYA00113521","3.0","ERS199373","MGYS00001705","metagenomic",,"ERR209856",
"MGYA00096098","3.0","ERS1069640","MGYS00001420","metagenomic",,"ERR1297796",
"MGYA00128882","3.0","ERS473223","MGYS00001799","metagenomic",,"ERR525888",
"MGYA00114102","3.0","ERS199357","MGYS00001705","metagenomic",,"ERR209830",
"MGYA00128660","3.0","ERS473247","MGYS00001799","metagenomic",,"ERR525912",
"MGYA00071220","3.0","ERS1336051","MGYS00001209","metagenomic",,"ERR1611423",
"MGYA00128931","3.0","ERS473260","MGYS00001799","metagenomic",,"ERR525925",
"MGYA00128642","3.0","ERS473075","MGYS00001799","metagenomic",,"ERR525740",
"MGYA00113959","3.0","ERS199013","MGYS00001705","metagenomic",,"ERR209095",
"MGYA00128924","3.0","ERS473336","MGYS00001799","metagenomic",,"ERR526001",
"MGYA00128999","3.0","ERS473389","MGYS00001799","metagenomic",,"ERR526054",
"MGYA00128793","3.0","ERS473060","MGYS00001799","metagenomic",,"ERR525725",
"MGYA00114948","3.0","ERS199126","MGYS00001705","metagenomic",,"ERR209428",
"MGYA00102877","3.0","ERS1138758","MGYS00001556","metagenomic",,"ERR1398148",
"MGYA00128808","3.0","ERS473242","MGYS00001799","metagenomic",,"ERR525907",
"MGYA00096982","3.0","ERS1509326","MGYS00001442","metagenomic",,"ERR1809153",
"MGYA00113827","3.0","ERS199069","MGYS00001705","metagenomic",,"ERR209209",
"MGYA00103036","3.0","ERS1138769","MGYS00001556","metagenomic",,"ERR1398100",
"MGYA00113464","3.0","ERS199380","MGYS00001705","metagenomic",,"ERR209867",
"MGYA00113894","3.0","ERS199041","MGYS00001705","metagenomic",,"ERR209153",
"MGYA00096027","3.0","ERS1069671","MGYS00001420","metagenomic",,"ERR1297816",
"MGYA00102930","3.0","ERS1138930","MGYS00001556","metagenomic",,"ERR1398227",
"MGYA00095906","3.0","ERS1069676","MGYS00001420","metagenomic",,"ERR1297726",
"MGYA00114013","3.0","ERS199122","MGYS00001705","metagenomic",,"ERR209414",
"MGYA00114731","3.0","ERS199123","MGYS00001705","metagenomic",,"ERR209415",
"MGYA00113718","3.0","ERS199032","MGYS00001705","metagenomic",,"ERR209135",
"MGYA00096045","3.0","ERS1069667","MGYS00001420","metagenomic",,"ERR1297807",
"MGYA00114191","3.0","ERS199379","MGYS00001705","metagenomic",,"ERR209865",
"MGYA00114789","3.0","ERS199027","MGYS00001705","metagenomic",,"ERR209124",
"MGYA00084497","3.0","ERS1240063","MGYS00001303","metagenomic",,"ERR1659120",
"MGYA00113543","3.0","ERS199374","MGYS00001705","metagenomic",,"ERR209858",
"MGYA00115089","3.0","ERS199133","MGYS00001705","metagenomic",,"ERR209452",
"MGYA00102906","3.0","ERS1138849","MGYS00001556","metagenomic",,"ERR1398135",
"MGYA00128854","3.0","ERS473351","MGYS00001799","metagenomic",,"ERR526016",
"MGYA00095804","3.0","ERS1069668","MGYS00001420","metagenomic",,"ERR1297795",
"MGYA00071226","3.0","ERS1336015","MGYS00001209","metagenomic",,"ERR1611387",
"MGYA00114159","3.0","ERS199363","MGYS00001705","metagenomic",,"ERR209850",
"MGYA00113541","3.0","ERS199061","MGYS00001705","metagenomic",,"ERR209192",
"MGYA00096160","3.0","ERS1069655","MGYS00001420","metagenomic",,"ERR1297689",
"MGYA00095842","3.0","ERS1069691","MGYS00001420","metagenomic",,"ERR1297685",
"MGYA00114378","3.0","ERS199115","MGYS00001705","metagenomic",,"ERR209386",
"MGYA00115138","3.0","ERS199208","MGYS00001705","metagenomic",,"ERR209580",
"MGYA00114529","3.0","ERS199279","MGYS00001705","metagenomic",,"ERR209689",
"MGYA00113641","3.0","ERS199112","MGYS00001705","metagenomic",,"ERR209371",
"MGYA00113814","3.0","ERS199201","MGYS00001705","metagenomic",,"ERR209568",
"MGYA00114964","3.0","ERS199010","MGYS00001705","metagenomic",,"ERR209082",
